#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
108,Zimbabwe,"261,606",,"5,652                                ",,"254,951",,"1,003",12,"17,063",369,"2,525,756","164,744","15,331,428 ",Africa,,"592,7136",,,65,
109,Uzbekistan,"250,508",,"1,637                                ",,"241,486",,"7,385",23,"7,286",48,"1,377,915","40,077","34,382,084 ",Asia,,"13721,00325",,,215,
110,Mozambique,"231,994",,"2,233                                ",,"228,805",,956,11,"7,011",67,"1,371,127","41,437","33,089,461 ",Africa,,"14314,81824",,,29,
111,Martinique,"229,577",,"1,095                                ",,N/A,N/A,N/A,12,"613,699","2,927","828,928","2,215,870","374,087 ",North America,,23420,,,"610,494",
112,Laos,"217,962",,758                                ,,N/A,N/A,N/A,,"29,135",101,"1,233,207","164,845","7,481,023 ",Asia,,"349,8696",,,"28,010",
113,Iceland,"208,605",,229                                ,,N/A,N/A,N/A,2,"603,964",663,"1,996,384","5,780,036","345,393 ",Europe,,"21,5080",,,"384,174",
114,Afghanistan,"208,435",,"7,876                                ",,"186,040",,"14,519",45,"5,114",193,"1,187,514","29,138","40,754,388 ",Asia,,"1965,17534",,,356,
115,Kyrgyzstan,"206,591",,"2,991                                ",,"196,406",,"7,194",131,"30,705",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,069",
116,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,770",
117,Guadeloupe,"201,394",,"1,007                                ",,N/A,N/A,N/A,19,"503,744","2,519","938,039","2,346,306","399,794 ",North America,,23970,,,"495,598",
118,Trinidad and Tobago,"187,585",,"4,319                                ",,"182,868",,398,8,"133,362","3,071","887,114","630,686","1,406,585 ",North America,,73262,,,283,
119,Maldives,"185,713",,311                                ,,"163,687",,"21,715",25,"343,287",575,"2,213,831","4,092,223","540,985 ",Asia,,"31,7400",,,"40,140",
